Fecha,Temperatura,Humedad,Lluvia,Rendimiento,Plagas,Riesgo,Alerta
2025-05-01,30.8,56.9,65.0,158.6,1,Medio,Sin alertas
2025-06-01,34.3,28.6,47.5,121.8,0,Alto,Alerta: Humedad baja
2025-07-01,39.0,31.4,63.7,121.1,0,Alto,Alerta: Humedad baja
2025-08-01,36.8,28.0,41.5,103.9,0,Alto,Alerta: Humedad baja
2025-09-01,27.1,57.4,25.8,152.7,0,Medio,Sin alertas
2025-10-01,31.5,51.3,27.1,129.7,0,Medio,Sin alertas
2025-11-01,28.3,50.9,78.4,157.8,0,Medio,Sin alertas
2025-12-01,24.3,56.5,19.7,145.1,0,Bajo,Sin alertas
2026-01-01,20.7,69.1,27.1,141.5,0,Bajo,"Alerta: Demasiada humedad, riesgo de enfermedades"
2026-02-01,23.3,64.9,26.2,127.6,0,Bajo,"Alerta: Demasiada humedad, riesgo de enfermedades"
2026-03-01,27.8,48.3,38.9,139.1,0,Medio,Sin alertas
2026-04-01,30.5,40.7,45.7,136.1,0,Medio,Sin alertas
2026-05-01,31.7,57.6,52.5,145.9,0,Medio,Sin alertas
2026-06-01,37.9,26.7,68.6,130.7,0,Alto,Alerta: Humedad baja
2026-07-01,38.5,28.6,38.4,119.6,0,Alto,Alerta: Humedad baja
2026-08-01,37.9,38.4,60.6,130.3,0,Alto,Alerta: Humedad baja
2026-09-01,32.8,46.4,41.4,125.0,0,Medio,Sin alertas
2026-10-01,28.7,47.8,43.3,131.6,0,Medio,Sin alertas
2026-11-01,33.8,43.7,37.2,120.1,0,Medio,Sin alertas
2026-12-01,24.9,61.0,30.3,126.9,0,Bajo,"Alerta: Demasiada humedad, riesgo de enfermedades"
