Fecha,Temperatura,Humedad,Lluvia,Rendimiento,Plagas,Riesgo,Alerta,Rendimiento_lag1,Rendimiento_lag2
2023-04-01,32.5,50.5,20.7,108.3,0,1,Sin alertas,109.7,140.3
2023-05-01,29.0,61.7,36.1,125.7,0,1,"Alerta: Demasiada humedad, riesgo de enfermedades",108.3,109.7
2023-06-01,37.5,33.6,6.1,95.0,0,2,Alerta: Humedad baja,125.7,108.3
2023-07-01,37.5,38.5,97.0,161.5,0,2,Alerta: Humedad baja,95.0,125.7
2023-08-01,37.5,29.5,111.5,157.1,0,2,Alerta: Humedad baja,161.5,95.0
2023-09-01,30.0,49.8,43.0,133.5,0,1,Sin alertas,157.1,161.5
2023-10-01,28.3,46.2,39.5,128.5,0,1,Sin alertas,133.5,157.1
2023-11-01,27.9,50.7,36.2,145.6,0,1,Sin alertas,128.5,133.5
2023-12-01,16.7,65.5,32.5,135.6,0,0,"Alerta: Temperatura baja, riesgo de heladas",145.6,128.5
2024-01-01,21.3,58.1,5.9,120.8,0,0,Sin alertas,135.6,145.6
2024-02-01,19.8,68.8,29.4,158.5,0,0,"Alerta: Temperatura baja, riesgo de heladas",120.8,135.6
2024-03-01,32.2,42.1,32.1,125.6,0,1,Sin alertas,158.5,120.8
2024-04-01,26.3,55.0,36.4,134.8,0,1,Sin alertas,125.6,158.5
2024-05-01,32.1,53.1,34.6,138.1,0,1,Sin alertas,134.8,125.6
2024-06-01,35.8,38.1,71.9,136.8,0,2,Alerta: Humedad baja,138.1,134.8
2024-07-01,38.7,28.7,78.5,133.5,0,2,Alerta: Humedad baja,136.8,138.1
2024-08-01,37.0,40.2,45.9,112.0,0,1,Sin alertas,133.5,136.8
2024-09-01,25.3,54.2,20.8,143.3,0,1,Sin alertas,112.0,133.5
2024-10-01,23.8,61.9,43.2,147.5,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",143.3,112.0
2024-11-01,28.4,52.8,39.4,144.8,0,1,Sin alertas,147.5,143.3
2024-12-01,22.2,60.8,16.4,133.1,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",144.8,147.5
2025-01-01,22.6,51.4,6.5,128.4,0,0,Sin alertas,133.1,144.8
2025-02-01,22.3,59.1,20.2,137.7,0,0,Sin alertas,128.4,133.1
2025-03-01,28.4,44.6,42.9,126.1,0,1,Sin alertas,137.7,128.4
2025-04-01,31.2,38.1,55.4,138.6,0,2,Alerta: Humedad baja,126.1,137.7
2025-05-01,30.8,56.9,65.0,158.6,1,1,Sin alertas,138.6,126.1
2025-06-01,34.3,28.6,47.5,121.8,0,2,Alerta: Humedad baja,158.6,138.6
2025-07-01,39.0,31.4,63.7,121.1,0,2,Alerta: Humedad baja,121.8,158.6
2025-08-01,36.8,28.0,41.5,103.9,0,2,Alerta: Humedad baja,121.1,121.8
2025-09-01,27.1,57.4,25.8,152.7,0,1,Sin alertas,103.9,121.1
2025-10-01,31.5,51.3,27.1,129.7,0,1,Sin alertas,152.7,103.9
2025-11-01,28.3,50.9,78.4,157.8,0,1,Sin alertas,129.7,152.7
2025-12-01,24.3,56.5,19.7,145.1,0,0,Sin alertas,157.8,129.7
2026-01-01,20.7,69.1,27.1,141.5,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",145.1,157.8
2026-02-01,23.3,64.9,26.2,127.6,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",141.5,145.1
2026-03-01,27.8,48.3,38.9,139.1,0,1,Sin alertas,127.6,141.5
2026-04-01,30.5,40.7,45.7,136.1,0,1,Sin alertas,139.1,127.6
2026-05-01,31.7,57.6,52.5,145.9,0,1,Sin alertas,136.1,139.1
2026-06-01,37.9,26.7,68.6,130.7,0,2,Alerta: Humedad baja,145.9,136.1
2026-07-01,38.5,28.6,38.4,119.6,0,2,Alerta: Humedad baja,130.7,145.9
2026-08-01,37.9,38.4,60.6,130.3,0,2,Alerta: Humedad baja,119.6,130.7
2026-09-01,32.8,46.4,41.4,125.0,0,1,Sin alertas,130.3,119.6
2026-10-01,28.7,47.8,43.3,131.6,0,1,Sin alertas,125.0,130.3
2026-11-01,33.8,43.7,37.2,120.1,0,1,Sin alertas,131.6,125.0
2026-12-01,24.9,61.0,30.3,126.9,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",120.1,131.6
